Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Total_Trans_Amt_per_Transaction,Spend_Efficiency
45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,27.238095238095237,0.04727655986509275
49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,39.121212121212125,0.038408610271903315
51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,94.35,0.027205034084950185
40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,58.55,0.023593618807724603
40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,29.142857142857142,0.0721563981042654
44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,45.333333333333336,0.029697841726618702
51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,42.903225806451616,0.04498530492285084
32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,42.72222222222222,0.050409148665819574
37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,56.25,0.058602620087336244
48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,45.03125,0.03310794297352342
42,5,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,28.595238095238095,0.02807884151246983
65,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,50.53846153846154,0.027804477611940298
56,1,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,90.52941176470588,0.03711375321336761
35,3,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,39.72727272727273,0.028555803571428572
57,2,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,54.13793103448276,0.02158223889931207
44,4,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,49.925925925925924,0.03351927272727273
48,4,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,61.888888888888886,0.027159010600706714
41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,48.95238095238095,0.01307244995233556
61,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,44.53333333333333,0.04021229868228404
45,2,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,57.476190476190474,0.01651954397394137
47,1,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,43.629629629629626,0.020300414937759338
